序号,CIDR归属厂商,CIDR归属地,CIDR,IP数量,IP列表
1,Wedropcode LTD,黑山 Podgorica 波德戈里察,147.90.229.0/24,107,147.90.229.185;147.90.229.225;147.90.229.93;147.90.229.138;147.90.229.56;147.90.229.32;147.90.229.115;147.90.229.217;147.90.229.169;147.90.229.150;147.90.229.246;147.90.229.199;147.90.229.132;147.90.229.189;147.90.229.33;147.90.229.236;147.90.229.205;147.90.229.232;147.90.229.8;147.90.229.222;147.90.229.208;147.90.229.196;147.90.229.181;147.90.229.219;147.90.229.117;147.90.229.234;147.90.229.221;147.90.229.184;147.90.229.239;147.90.229.193;147.90.229.110;147.90.229.162;147.90.229.216;147.90.229.15;147.90.229.227;147.90.229.62;147.90.229.200;147.90.229.240;147.90.229.34;147.90.229.26;147.90.229.237;147.90.229.180;147.90.229.120;147.90.229.116;147.90.229.87;147.90.229.176;147.90.229.235;147.90.229.140;147.90.229.166;147.90.229.230;147.90.229.172;147.90.229.191;147.90.229.233;147.90.229.195;147.90.229.242;147.90.229.175;147.90.229.139;147.90.229.188;147.90.229.231;147.90.229.213;147.90.229.241;147.90.229.30;147.90.229.220;147.90.229.40;147.90.229.173;147.90.229.165;147.90.229.243;147.90.229.183;147.90.229.245;147.90.229.60;147.90.229.164;147.90.229.204;147.90.229.27;147.90.229.224;147.90.229.4;147.90.229.167;147.90.229.179;147.90.229.159;147.90.229.226;147.90.229.229;147.90.229.158;147.90.229.194;147.90.229.22;147.90.229.186;147.90.229.112;147.90.229.203;147.90.229.238;147.90.229.223;147.90.229.94;147.90.229.212;147.90.229.73;147.90.229.65;147.90.229.182;147.90.229.51;147.90.229.177;147.90.229.209;147.90.229.214;147.90.229.244;147.90.229.163;147.90.229.206;147.90.229.86;147.90.229.202;147.90.229.215;147.90.229.211;147.90.229.228;147.90.229.168;147.90.229.218
2,Mifinorx LTD,黑山 Podgorica 波德戈里察,31.57.190.0/24,88,31.57.190.18;31.57.190.32;31.57.190.20;31.57.190.78;31.57.190.11;31.57.190.41;31.57.190.16;31.57.190.17;31.57.190.39;31.57.190.66;31.57.190.67;31.57.190.62;31.57.190.37;31.57.190.42;31.57.190.49;31.57.190.73;31.57.190.80;31.57.190.88;31.57.190.48;31.57.190.93;31.57.190.54;31.57.190.77;31.57.190.58;31.57.190.40;31.57.190.61;31.57.190.12;31.57.190.44;31.57.190.19;31.57.190.24;31.57.190.64;31.57.190.27;31.57.190.51;31.57.190.75;31.57.190.59;31.57.190.13;31.57.190.55;31.57.190.87;31.57.190.81;31.57.190.94;31.57.190.22;31.57.190.9;31.57.190.97;31.57.190.98;31.57.190.34;31.57.190.57;31.57.190.69;31.57.190.95;31.57.190.65;31.57.190.60;31.57.190.76;31.57.190.50;31.57.190.47;31.57.190.70;31.57.190.91;31.57.190.68;31.57.190.7;31.57.190.63;31.57.190.28;31.57.190.26;31.57.190.15;31.57.190.23;31.57.190.21;31.57.190.36;31.57.190.6;31.57.190.52;31.57.190.5;31.57.190.53;31.57.190.45;31.57.190.3;31.57.190.96;31.57.190.25;31.57.190.31;31.57.190.4;31.57.190.29;31.57.190.72;31.57.190.89;31.57.190.90;31.57.190.43;31.57.190.85;31.57.190.82;31.57.190.92;31.57.190.71;31.57.190.14;31.57.190.30;31.57.190.10;31.57.190.79;31.57.190.33;31.57.190.46
3,Iryna Maksymiv trading as Cake Home,黑山 Podgorica 波德戈里察,147.90.26.0/24,88,147.90.26.60;147.90.26.12;147.90.26.51;147.90.26.82;147.90.26.36;147.90.26.91;147.90.26.88;147.90.26.70;147.90.26.21;147.90.26.28;147.90.26.86;147.90.26.27;147.90.26.75;147.90.26.29;147.90.26.11;147.90.26.14;147.90.26.52;147.90.26.30;147.90.26.37;147.90.26.53;147.90.26.50;147.90.26.35;147.90.26.16;147.90.26.20;147.90.26.19;147.90.26.79;147.90.26.78;147.90.26.44;147.90.26.15;147.90.26.94;147.90.26.71;147.90.26.32;147.90.26.72;147.90.26.57;147.90.26.92;147.90.26.80;147.90.26.81;147.90.26.31;147.90.26.93;147.90.26.65;147.90.26.59;147.90.26.76;147.90.26.17;147.90.26.3;147.90.26.10;147.90.26.61;147.90.26.49;147.90.26.23;147.90.26.69;147.90.26.67;147.90.26.38;147.90.26.58;147.90.26.74;147.90.26.63;147.90.26.47;147.90.26.73;147.90.26.9;147.90.26.62;147.90.26.18;147.90.26.87;147.90.26.42;147.90.26.64;147.90.26.33;147.90.26.68;147.90.26.84;147.90.26.90;147.90.26.4;147.90.26.6;147.90.26.40;147.90.26.25;147.90.26.66;147.90.26.41;147.90.26.13;147.90.26.39;147.90.26.83;147.90.26.7;147.90.26.77;147.90.26.8;147.90.26.55;147.90.26.48;147.90.26.89;147.90.26.26;147.90.26.43;147.90.26.34;147.90.26.45;147.90.26.22;147.90.26.85;147.90.26.54
4,Greenhost BV,荷兰 北荷兰省 阿姆斯特丹,147.90.89.0/24,64,147.90.89.130;147.90.89.213;147.90.89.74;147.90.89.7;147.90.89.201;147.90.89.135;147.90.89.229;147.90.89.104;147.90.89.14;147.90.89.239;147.90.89.51;147.90.89.234;147.90.89.165;147.90.89.120;147.90.89.226;147.90.89.92;147.90.89.47;147.90.89.158;147.90.89.107;147.90.89.210;147.90.89.29;147.90.89.198;147.90.89.146;147.90.89.136;147.90.89.152;147.90.89.174;147.90.89.101;147.90.89.54;147.90.89.186;147.90.89.149;147.90.89.108;147.90.89.154;147.90.89.19;147.90.89.200;147.90.89.2;147.90.89.96;147.90.89.119;147.90.89.88;147.90.89.241;147.90.89.208;147.90.89.173;147.90.89.215;147.90.89.17;147.90.89.68;147.90.89.39;147.90.89.233;147.90.89.248;147.90.89.23;147.90.89.27;147.90.89.240;147.90.89.6;147.90.89.46;147.90.89.114;147.90.89.191;147.90.89.188;147.90.89.223;147.90.89.18;147.90.89.9;147.90.89.83;147.90.89.42;147.90.89.55;147.90.89.147;147.90.89.76;147.90.89.133
5,Greenhost BV,德国 黑森州 法兰克福,158.173.195.0/24,53,158.173.195.206;158.173.195.35;158.173.195.13;158.173.195.221;158.173.195.117;158.173.195.240;158.173.195.233;158.173.195.219;158.173.195.154;158.173.195.156;158.173.195.175;158.173.195.222;158.173.195.121;158.173.195.55;158.173.195.16;158.173.195.74;158.173.195.195;158.173.195.60;158.173.195.75;158.173.195.180;158.173.195.152;158.173.195.97;158.173.195.164;158.173.195.8;158.173.195.43;158.173.195.227;158.173.195.103;158.173.195.25;158.173.195.242;158.173.195.106;158.173.195.104;158.173.195.115;158.173.195.68;158.173.195.148;158.173.195.225;158.173.195.137;158.173.195.191;158.173.195.247;158.173.195.89;158.173.195.198;158.173.195.3;158.173.195.216;158.173.195.234;158.173.195.197;158.173.195.194;158.173.195.94;158.173.195.122;158.173.195.166;158.173.195.67;158.173.195.208;158.173.195.51;158.173.195.241;158.173.195.173
6,InterLIR Marketplace,奥地利 Vienna 維也納,132.243.203.0/24,52,132.243.203.238;132.243.203.221;132.243.203.206;132.243.203.9;132.243.203.120;132.243.203.236;132.243.203.228;132.243.203.229;132.243.203.217;132.243.203.214;132.243.203.203;132.243.203.35;132.243.203.218;132.243.203.216;132.243.203.237;132.243.203.239;132.243.203.235;132.243.203.243;132.243.203.246;132.243.203.223;132.243.203.242;132.243.203.211;132.243.203.226;132.243.203.219;132.243.203.241;132.243.203.225;132.243.203.202;132.243.203.232;132.243.203.247;132.243.203.245;132.243.203.213;132.243.203.215;132.243.203.231;132.243.203.207;132.243.203.234;132.243.203.112;132.243.203.204;132.243.203.248;132.243.203.212;132.243.203.227;132.243.203.249;132.243.203.210;132.243.203.220;132.243.203.244;132.243.203.224;132.243.203.222;132.243.203.240;132.243.203.233;132.243.203.230;132.243.203.208;132.243.203.205;132.243.203.209
7,Ipxo,荷兰 北荷兰省 阿姆斯特丹,2.27.169.0/24,42,2.27.169.235;2.27.169.174;2.27.169.74;2.27.169.176;2.27.169.76;2.27.169.2;2.27.169.42;2.27.169.221;2.27.169.72;2.27.169.241;2.27.169.105;2.27.169.193;2.27.169.189;2.27.169.94;2.27.169.232;2.27.169.54;2.27.169.169;2.27.169.145;2.27.169.118;2.27.169.106;2.27.169.226;2.27.169.6;2.27.169.209;2.27.169.43;2.27.169.196;2.27.169.138;2.27.169.249;2.27.169.184;2.27.169.50;2.27.169.61;2.27.169.51;2.27.169.199;2.27.169.140;2.27.169.131;2.27.169.60;2.27.169.171;2.27.169.220;2.27.169.240;2.27.169.90;2.27.169.161;2.27.169.65;2.27.169.237
8,Greenhost BV,荷兰 北荷兰省 阿姆斯特丹,31.57.196.0/24,39,31.57.196.162;31.57.196.215;31.57.196.52;31.57.196.102;31.57.196.38;31.57.196.202;31.57.196.95;31.57.196.65;31.57.196.193;31.57.196.204;31.57.196.71;31.57.196.19;31.57.196.23;31.57.196.14;31.57.196.35;31.57.196.167;31.57.196.143;31.57.196.31;31.57.196.109;31.57.196.88;31.57.196.4;31.57.196.220;31.57.196.240;31.57.196.120;31.57.196.243;31.57.196.147;31.57.196.241;31.57.196.200;31.57.196.70;31.57.196.17;31.57.196.40;31.57.196.157;31.57.196.139;31.57.196.159;31.57.196.75;31.57.196.20;31.57.196.185;31.57.196.80;31.57.196.165
9,"Cloudflare, Inc.",加拿大 安大略 多伦多,172.65.90.0/24,36,172.65.90.83;172.65.90.45;172.65.90.62;172.65.90.32;172.65.90.46;172.65.90.82;172.65.90.2;172.65.90.35;172.65.90.9;172.65.90.50;172.65.90.60;172.65.90.47;172.65.90.78;172.65.90.48;172.65.90.85;172.65.90.5;172.65.90.81;172.65.90.40;172.65.90.6;172.65.90.34;172.65.90.22;172.65.90.51;172.65.90.11;172.65.90.7;172.65.90.49;172.65.90.44;172.65.90.80;172.65.90.56;172.65.90.91;172.65.90.10;172.65.90.57;172.65.90.41;172.65.90.33;172.65.90.63;172.65.90.4;172.65.90.90
10,Hetzner Online GmbH,德国 萨克森自由州 Falkenstein,136.243.86.0/24,30,136.243.86.77;136.243.86.84;136.243.86.86;136.243.86.69;136.243.86.85;136.243.86.92;136.243.86.80;136.243.86.67;136.243.86.78;136.243.86.65;136.243.86.88;136.243.86.79;136.243.86.72;136.243.86.94;136.243.86.71;136.243.86.83;136.243.86.73;136.243.86.81;136.243.86.74;136.243.86.82;136.243.86.93;136.243.86.68;136.243.86.87;136.243.86.76;136.243.86.91;136.243.86.66;136.243.86.90;136.243.86.75;136.243.86.89;136.243.86.70
